3.0	50.0
3.1	54.0
3.2	35.0
3.3	23.0
3.4	17.0
3.5	8.0
3.6	4.0
3.7	2.0
3.8	4.0
3.9	3.0
4.0	2.0
4.1	2.0
4.2	2.0
4.3	2.0
4.4	2.0
4.5	2.0
4.6	2.0
4.7	3.0
4.8	2.0
4.9	1.0
5.0	3.0
5.1	1.0
5.2	2.0
5.3	2.0
5.4	2.0
5.5	2.0
5.6	2.0
5.7	1.0
5.8	2.0
5.9	1.0
6.0	1.0
6.1	2.0
6.2	1.0
6.3	1.0
6.4	1.0
6.5	1.0
6.6	1.0
6.7	1.0
6.8	2.0
6.9	2.0
7.0	1.0
7.1	3.0
7.2	6.0
7.3	6.0
7.4	6.0
7.5	9.0
7.6	13.0
7.7	15.0
7.8	17.0
7.9	20.0
8.0	19.0
8.1	21.0
8.2	26.0
8.3	26.0
8.4	26.0
8.5	29.0
8.6	32.0
8.7	31.0
8.8	36.0
8.9	32.0
9.0	37.0
9.1	32.0
9.2	34.0
9.3	42.0
9.4	40.0
9.5	39.0
9.6	37.0
9.7	37.0
9.8	47.0
9.9	36.0
10.0	33.0
10.1	35.0
10.2	39.0
10.3	36.0
10.4	38.0
10.5	43.0
10.6	39.0
10.7	39.0
10.8	38.0
10.9	40.0
11.0	39.0
11.1	44.0
11.2	33.0
