3.0	112.0
3.1	95.0
3.2	67.0
3.3	52.0
3.4	29.0
3.5	17.0
3.6	9.0
3.7	5.0
3.8	4.0
3.9	4.0
4.0	4.0
4.1	6.0
4.2	4.0
4.3	4.0
4.4	4.0
4.5	5.0
4.6	4.0
4.7	4.0
4.8	3.0
4.9	2.0
5.0	3.0
5.1	2.0
5.2	1.0
5.3	3.0
5.4	3.0
5.5	4.0
5.6	3.0
5.7	2.0
5.8	3.0
5.9	3.0
6.0	5.0
6.1	6.0
6.2	5.0
6.3	8.0
6.4	12.0
6.5	13.0
6.6	12.0
6.7	17.0
6.8	17.0
6.9	23.0
7.0	23.0
7.1	32.0
7.2	32.0
7.3	33.0
7.4	39.0
7.5	35.0
7.6	39.0
7.7	43.0
7.8	40.0
7.9	47.0
8.0	48.0
8.1	56.0
8.2	49.0
8.3	54.0
8.4	53.0
8.5	54.0
8.6	56.0
8.7	62.0
8.8	65.0
8.9	57.0
9.0	53.0
9.1	66.0
9.2	64.0
9.3	64.0
9.4	61.0
9.5	61.0
9.6	58.0
9.7	61.0
9.8	59.0
9.9	58.0
10.0	56.0
10.1	55.0
10.2	48.0
10.3	56.0
