0	0.795	0.205	0.205	7.95	NAN
0.1	0.015	0.23	0.23	0.15	NAN
0.2	0.06	0.24	0.24	0.6	NAN
0.3	0.075	0.24	0.24	0.75	NAN
0.4	0.09	0.385	0.385	0.9	NAN
0.5	0.12	0.42	0.42	1.2	NAN
0.6	0.15	0.395	0.395	1.5	NAN
0.7	0.165	0.395	0.395	1.65	NAN
0.8	0.195	0.26	0.26	1.95	NAN
0.9	0.225	0.265	0.265	2.25	NAN
1	0.255	0.265	0.265	2.55	NAN
1.1	0.285	0.265	0.265	2.85	NAN
1.2	0.3	0.275	0.275	3	NAN
1.3	0.33	0.29	0.29	3.3	NAN
1.4	0.36	0.32	0.32	3.6	NAN
1.5	0.39	0.495	0.495	3.9	NAN
1.6	0.42	0.425	0.425	4.2	NAN
1.7	0.435	0.67	0.67	4.35	NAN
1.8	0.45	0.73	0.73	4.5	NAN
1.9	0.48	0.78	0.78	4.8	NAN
2	0.51	0.965	0.965	5.1	NAN
2.1	0.54	1.06	1.06	5.4	NAN
2.2	0.57	1.11	1.11	5.7	NAN
2.3	0.585	0.99	0.99	5.85	NAN
2.4	0.615	0.795	0.795	6.15	NAN
2.5	0.645	0.64	0.64	6.45	NAN
2.6	0.675	0.43	0.43	6.75	NAN
2.7	0.69	0.475	0.475	6.9	NAN
2.8	0.72	0.425	0.425	7.2	NAN
2.9	0.75	0.415	0.415	7.5	NAN
3	0.78	0.425	0.425	7.8	NAN
3.1	0.795	0.45	0.45	7.95	NAN
3.2	0.825	0.46	0.46	8.25	NAN
3.3	0.84	0.49	0.49	8.4	NAN
3.4	0.87	0.7	0.7	8.7	NAN
3.5	0.9	0.84	0.84	9	NAN
3.6	0.93	1.15	1.15	9.3	NAN
3.7	0.96	1.45	1.45	9.6	NAN
3.8	0.975	1.78	1.78	9.75	NAN
3.9	1.005	2.175	2.175	10.05	NAN
4	1.035	2.36	2.36	10.35	NAN
4.1	1.065	2.325	2.325	10.65	NAN
4.2	1.095	1.95	1.95	10.95	NAN
4.3	1.11	1.39	1.39	11.1	NAN
4.4	1.125	0.905	0.905	11.25	NAN
4.5	1.155	0.655	0.655	11.55	NAN
4.6	1.185	0.415	0.415	11.85	NAN
4.7	1.215	0.295	0.295	12.15	NAN
4.8	1.23	0.345	0.345	12.3	NAN
4.9	1.26	0.37	0.37	12.6	NAN
5	1.29	0.495	0.495	12.9	NAN
5.1	1.32	0.48	0.48	13.2	NAN
5.2	1.35	0.8	0.8	13.5	NAN
5.3	1.365	0.955	0.955	13.65	NAN
5.4	1.395	1.24	1.24	13.95	NAN
5.5	1.425	1.78	1.78	14.25	NAN
5.6	1.455	2.125	2.125	14.55	NAN
5.7	1.485	2.835	2.835	14.85	NAN
5.8	1.485	3.19	3.19	14.85	NAN
5.9	1.515	3.385	3.385	15.15	NAN
6	1.545	3.27	3.27	15.45	NAN
6.1	1.575	2.84	2.84	15.75	NAN
6.2	1.605	2.305	2.305	16.05	NAN
6.3	1.62	1.54	1.54	16.2	NAN
6.4	1.65	1.14	1.14	16.5	NAN
6.5	1.68	0.76	0.76	16.8	NAN
6.6	1.71	0.545	0.545	17.1	NAN
6.7	1.74	0.36	0.36	17.4	NAN
6.8	1.755	0.515	0.515	17.55	NAN
6.9	1.785	0.595	0.595	17.85	NAN
7	1.815	0.83	0.83	18.15	NAN
7.1	1.83	0.9	0.9	18.3	NAN
7.2	1.86	1.36	1.36	18.6	NAN
7.3	1.875	1.76	1.76	18.75	NAN
7.4	1.905	2.245	2.245	19.05	NAN
7.5	1.935	2.65	2.65	19.35	NAN
7.6	1.965	3.45	3.45	19.65	NAN
7.7	1.98	4.09	4.09	19.8	NAN
7.8	2.01	4.375	4.375	20.1	NAN
7.9	2.04	4.405	4.405	20.4	NAN
8	2.07	4.06	4.06	20.7	NAN
8.1	2.1	3.675	3.675	21	NAN
8.2	2.115	2.925	2.925	21.15	NAN
8.3	2.13	2.03	2.03	21.3	NAN
8.4	2.16	1.59	1.59	21.6	NAN
8.5	2.19	1.2	1.2	21.9	NAN
8.6	2.22	0.915	0.915	22.2	NAN
8.7	2.235	0.635	0.635	22.35	NAN
8.8	2.265	0.65	0.65	22.65	NAN
8.9	2.295	0.96	0.96	22.95	NAN
9	2.325	1.21	1.21	23.25	NAN
9.1	2.355	1.41	1.41	23.55	NAN
9.2	2.37	1.83	1.83	23.7	NAN
9.3	2.4	2.555	2.555	24	NAN
9.4	2.43	3.075	3.075	24.3	NAN
9.5	2.46	4.005	4.005	24.6	NAN
9.6	2.475	4.52	4.52	24.75	NAN
9.7	2.49	5.315	5.315	24.9	NAN
9.8	2.52	5.41	5.41	25.2	NAN
9.9	2.55	5.34	5.34	25.5	NAN
10	2.58	5.2	5.2	25.8	NAN
10.1	2.61	4.37	4.37	26.1	NAN
10.2	2.625	3.615	3.615	26.25	NAN
10.3	2.655	2.88	2.88	26.55	NAN
10.4	2.685	2.42	2.42	26.85	NAN
10.5	2.715	1.99	1.99	27.15	NAN
10.6	2.73	1.67	1.67	27.3	NAN
10.7	2.76	1.54	1.54	27.6	NAN
10.8	2.79	1.51	1.51	27.9	NAN
10.9	2.805	1.57	1.57	28.05	NAN
11	2.835	1.93	1.93	28.35	NAN
11.1	2.85	2.25	2.25	28.5	NAN
11.2	2.88	2.765	2.765	28.8	NAN
11.3	2.91	3.47	3.47	29.1	NAN
11.4	2.94	4.065	4.065	29.4	NAN
11.5	2.97	5.28	5.28	29.7	NAN
11.6	2.985	5.87	5.87	29.85	NAN
11.7	3.015	6.62	6.62	30.15	NAN
11.8	3.045	6.725	6.725	30.45	NAN
11.9	3.075	6.955	6.955	30.75	NAN
12	3.09	6.39	6.39	30.9	NAN
12.1	3.12	5.82	5.82	31.2	NAN
12.2	3.135	5.135	5.135	31.35	NAN
12.3	3.165	4.735	4.735	31.65	NAN
12.4	3.195	4.16	4.16	31.95	NAN
12.5	3.195	4.365	4.365	31.95	NAN
12.6	3.195	4.21	4.21	31.95	NAN
12.7	3.195	4.395	4.395	31.95	NAN
12.8	3.195	4.41	4.41	31.95	NAN
12.9	3.195	4.18	4.18	31.95	NAN
13	3.195	4.205	4.205	31.95	NAN
13.1	3.195	4.375	4.375	31.95	NAN
13.2	3.195	4.315	4.315	31.95	NAN
13.3	3.195	4.35	4.35	31.95	NAN
13.4	3.195	4.295	4.295	31.95	NAN
13.5	3.195	4.09	4.09	31.95	NAN
13.6	3.195	4.105	4.105	31.95	NAN
13.7	3.195	4.15	4.15	31.95	NAN
13.8	3.195	4.375	4.375	31.95	NAN
13.9	3.195	4.15	4.15	31.95	NAN
14	3.195	4.165	4.165	31.95	NAN
14.1	3.195	4.32	4.32	31.95	NAN
14.2	3.195	4.31	4.31	31.95	NAN
14.3	3.195	4.34	4.34	31.95	NAN
14.4	3.195	4.105	4.105	31.95	NAN
14.5	3.195	4.275	4.275	31.95	NAN
14.6	3.195	4.295	4.295	31.95	NAN
14.7	3.195	4.51	4.51	31.95	NAN
14.8	3.195	4.125	4.125	31.95	NAN
14.9	3.195	4.57	4.57	31.95	NAN
15	3.195	4.325	4.325	31.95	NAN
