0	0.285	0.12	0.12	2.85	NAN
0.1	0	0.105	0.105	0	NAN
0.2	0.03	0.625	0.625	0.3	NAN
0.301	0.18	0.085	0.085	1.8	NAN
0.401	0.135	0.095	0.095	1.35	NAN
0.501	0.15	0.065	0.065	1.5	NAN
0.601	0.15	0.075	0.075	1.5	NAN
0.701	0.18	0.06	0.06	1.8	NAN
0.801	0.21	0.09	0.09	2.1	NAN
0.901	0.24	0.05	0.05	2.4	NAN
1.001	0.27	0.125	0.125	2.7	NAN
1.101	0.285	0.135	0.135	2.85	NAN
1.201	0.315	0.14	0.14	3.15	NAN
1.301	0.33	0.035	0.035	3.3	NAN
1.401	0.36	0.13	0.13	3.6	NAN
1.501	0.375	0.14	0.14	3.75	NAN
1.601	0.405	0.12	0.12	4.05	NAN
1.701	0.435	0.045	0.045	4.35	NAN
1.801	0.465	0.12	0.12	4.65	NAN
1.901	0.495	0.04	0.04	4.95	NAN
2.001	0.51	0.14	0.14	5.1	NAN
2.101	0.54	0.05	0.05	5.4	NAN
2.201	0.57	0.145	0.145	5.7	NAN
2.301	0.6	0.11	0.11	6	NAN
2.401	0.615	0.115	0.115	6.15	NAN
2.501	0.645	0.095	0.095	6.45	NAN
2.601	0.675	0.02	0.02	6.75	NAN
2.701	0.705	0.02	0.02	7.05	NAN
2.801	0.735	0.17	0.17	7.35	NAN
2.901	0.735	0.17	0.17	7.35	NAN
3.001	0.765	0.005	0.005	7.65	NAN
3.101	0.795	0.05	0.05	7.95	NAN
3.201	0.825	0.04	0.04	8.25	NAN
3.301	0.855	0.04	0.04	8.55	NAN
3.401	0.87	0.135	0.135	8.7	NAN
3.501	0.9	0.155	0.155	9	NAN
3.601	0.93	0.17	0.17	9.3	NAN
3.701	0.96	0.08	0.08	9.6	NAN
3.801	0.975	0.08	0.08	9.75	NAN
3.901	1.005	0.1	0.1	10.05	NAN
4.001	1.035	0.235	0.235	10.35	NAN
4.101	1.065	0.21	0.21	10.65	NAN
4.201	1.08	0.065	0.065	10.8	NAN
4.301	1.095	0.11	0.11	10.95	NAN
4.401	1.125	0.005	0.005	11.25	NAN
4.501	1.155	0.075	0.075	11.55	NAN
4.601	1.185	0.005	0.005	11.85	NAN
4.701	1.215	0.005	0.005	12.15	NAN
4.801	1.23	0.05	0.05	12.3	NAN
4.901	1.26	-0.005	-0.005	12.6	NAN
5.001	1.29	0.055	0.055	12.9	NAN
5.101	1.32	0.015	0.015	13.2	NAN
5.201	1.35	0.04	0.04	13.5	NAN
5.301	1.365	0.045	0.045	13.65	NAN
5.401	1.395	0.025	0.025	13.95	NAN
5.501	1.425	0.125	0.125	14.25	NAN
5.601	1.44	0.135	0.135	14.4	NAN
5.701	1.47	0.08	0.08	14.7	NAN
5.801	1.485	0.25	0.25	14.85	NAN
5.901	1.515	0.23	0.23	15.15	NAN
6.001	1.545	0.09	0.09	15.45	NAN
6.101	1.575	0.13	0.13	15.75	NAN
6.201	1.59	0.015	0.015	15.9	NAN
6.301	1.62	0.03	0.03	16.2	NAN
6.401	1.65	-0.015	-0.015	16.5	NAN
6.501	1.68	0.015	0.015	16.8	NAN
6.601	1.71	-0.02	-0.02	17.1	NAN
6.701	1.725	0.005	0.005	17.25	NAN
6.801	1.755	-0.02	-0.02	17.55	NAN
6.901	1.77	0.01	0.01	17.7	NAN
7.001	1.8	0.05	0.05	18	NAN
7.101	1.83	-0.005	-0.005	18.3	NAN
7.201	1.845	0.03	0.03	18.45	NAN
7.301	1.875	0.065	0.065	18.75	NAN
7.401	1.905	0.09	0.09	19.05	NAN
7.501	1.935	0.125	0.125	19.35	NAN
7.601	1.965	0.2	0.2	19.65	NAN
7.701	1.98	0.2	0.2	19.8	NAN
7.801	2.01	0.22	0.22	20.1	NAN
7.901	2.04	0.17	0.17	20.4	NAN
8.001	2.07	0.14	0.14	20.7	NAN
8.101	2.085	0.075	0.075	20.85	NAN
8.201	2.1	0.02	0.02	21	NAN
8.301	2.13	0.035	0.035	21.3	NAN
8.401	2.16	-0.005	-0.005	21.6	NAN
8.501	2.19	-0.02	-0.02	21.9	NAN
8.601	2.22	-0.025	-0.025	22.2	NAN
8.701	2.235	-0.015	-0.015	22.35	NAN
