0	0.75	0.02	0.02	7.5	NAN
0.1	0.015	0.06	0.06	0.15	NAN
0.2	0.09	0.045	0.045	0.9	NAN
0.3	0.075	0.12	0.12	0.75	NAN
0.4	0.09	0.045	0.045	0.9	NAN
0.5	0.12	0.05	0.05	1.2	NAN
0.6	0.15	0.05	0.05	1.5	NAN
0.7	0.165	0.005	0.005	1.65	NAN
0.8	0.195	0.07	0.07	1.95	NAN
0.9	0.225	0.06	0.06	2.25	NAN
1	0.255	0.085	0.085	2.55	NAN
1.1	0.285	0.015	0.015	2.85	NAN
1.2	0.315	0.08	0.08	3.15	NAN
1.3	0.33	0.095	0.095	3.3	NAN
1.4	0.36	0.1	0.1	3.6	NAN
1.5	0.39	0.14	0.14	3.9	NAN
1.6	0.42	0.14	0.14	4.2	NAN
1.7	0.435	0.065	0.065	4.35	NAN
1.8	0.465	0.305	0.305	4.65	NAN
1.9	0.495	0.495	0.495	4.95	NAN
2	0.51	0.71	0.71	5.1	NAN
2.1	0.54	0.885	0.885	5.4	NAN
2.2	0.57	0.79	0.79	5.7	NAN
2.3	0.6	0.64	0.64	6	NAN
2.4	0.63	0.545	0.545	6.3	NAN
2.5	0.645	0.34	0.34	6.45	NAN
2.6	0.675	0.225	0.225	6.75	NAN
2.7	0.705	0.15	0.15	7.05	NAN
2.8	0.735	0.13	0.13	7.35	NAN
2.9	0.765	0.245	0.245	7.65	NAN
3	0.78	0.255	0.255	7.8	NAN
3.1	0.795	0.24	0.24	7.95	NAN
3.2	0.825	0.355	0.355	8.25	NAN
3.3	0.855	0.385	0.385	8.55	NAN
3.4	0.885	0.58	0.58	8.85	NAN
3.5	0.915	0.89	0.89	9.15	NAN
3.6	0.93	1.04	1.04	9.3	NAN
3.7	0.96	1.515	1.515	9.6	NAN
3.8	0.99	1.74	1.74	9.9	NAN
3.9	1.02	2.22	2.22	10.2	NAN
4	1.05	2.39	2.39	10.5	NAN
4.1	1.065	2.06	2.06	10.65	NAN
4.2	1.095	1.74	1.74	10.95	NAN
4.3	1.125	1.145	1.145	11.25	NAN
4.4	1.14	0.795	0.795	11.4	NAN
4.5	1.17	0.525	0.525	11.7	NAN
4.6	1.185	0.355	0.355	11.85	NAN
4.7	1.215	0.195	0.195	12.15	NAN
4.8	1.245	0.21	0.21	12.45	NAN
4.9	1.275	0.245	0.245	12.75	NAN
5	1.305	0.48	0.48	13.05	NAN
5.1	1.32	0.69	0.69	13.2	NAN
5.2	1.35	0.91	0.91	13.5	NAN
5.3	1.38	1.26	1.26	13.8	NAN
5.4	1.41	1.495	1.495	14.1	NAN
5.5	1.44	2.055	2.055	14.4	NAN
5.6	1.455	2.465	2.465	14.55	NAN
5.7	1.485	3.15	3.15	14.85	NAN
5.8	1.5	3.62	3.62	15	NAN
5.9	1.53	3.78	3.78	15.3	NAN
6	1.56	3.525	3.525	15.6	NAN
6.1	1.59	2.81	2.81	15.9	NAN
6.2	1.605	2.115	2.115	16.05	NAN
6.3	1.635	1.46	1.46	16.35	NAN
6.4	1.665	0.88	0.88	16.65	NAN
6.5	1.695	0.695	0.695	16.95	NAN
6.6	1.725	0.39	0.39	17.25	NAN
6.7	1.74	0.475	0.475	17.4	NAN
6.8	1.77	0.555	0.555	17.7	NAN
6.9	1.8	0.6	0.6	18	NAN
7	1.83	1.12	1.12	18.3	NAN
7.1	1.845	1.14	1.14	18.45	NAN
7.2	1.86	1.725	1.725	18.6	NAN
7.3	1.89	2.215	2.215	18.9	NAN
7.4	1.92	2.81	2.81	19.2	NAN
7.5	1.95	3.375	3.375	19.5	NAN
7.6	1.965	4.075	4.075	19.65	NAN
